"Pt.name","North","East","Code","BedSE"
"115",4099747.25,568654.695,"topo",1.822
"116",4099747.169,568650.42,"topo",1.818
"117",4099745.962,568645.303,"topo",1.844
"118",4099743.923,568639.945,"topo",1.824
"119",4099735.804,568636.061,"topo",2.238
"120",4099727.676,568629.143,"topo",2.371
"121",4099721.114,568621.294,"topo",2.399
"122",4099715.454,568616.164,"topo",2.243
"123",4099711.887,568612.261,"topo",2.084
"124",4099708.736,568609.664,"topo",1.972
"125",4099705.921,568607.558,"topo",1.966
"126",4099701.779,568603.281,"topo",1.883
"127",4099697.242,568600.341,"topo",1.97
"128",4099693.397,568598.748,"topo",2.073
"129",4099689.988,568596.551,"topo",2.008
"130",4099686.909,568594.737,"topo",1.911
"131",4099683.853,568593.56,"topo",1.91
"132",4099680.318,568593.081,"topo",1.952
"133",4099677.45,568592.557,"topo",1.946
"134",4099674.561,568591.821,"topo",1.937
"135",4099672.49,568591.897,"topo",1.927
"136",4099669.659,568591.73,"topo",1.827
"137",4099667.688,568589.102,"topo",1.846
"138",4099664.631,568587.29,"topo",1.809
"139",4099662.595,568585.835,"topo",1.787
"140",4099660.239,568583.643,"topo",1.77
"141",4099657.868,568580.725,"topo",2.084
"142",4099656.803,568578.218,"topo",2.005
"143",4099655.002,568577.359,"wse",2.695
"144",4099654.574,568575.445,"wse",2.676
"145",4099653.338,568573.653,"wse",2.95
"146",4099654.6,568572.321,"topo",2.112
"147",4099655.673,568572.911,"topo",1.729
"148",4099641.767,568559.781,"wse",2.654
"149",4099639.401,568556.763,"wse",2.665
"150",4099636.295,568552.018,"wse",2.678
"151",4099634.091,568548.517,"wse",2.674
"152",4099631.67,568544.108,"wse",2.668
"153",4099630.231,568539.119,"wse",2.682
"154",4099633.113,568538.268,"wse",2.683
"155",4099637.206,568540.907,"wse",2.691
"156",4099641.419,568539.562,"wse",2.652
"157",4099644.873,568537.302,"wse",2.664
"158",4099649.415,568534.023,"wse",2.675
"159",4099654.183,568532.755,"wse",2.676
"160",4099658.481,568532.491,"wse",2.667
"161",4099662.578,568529.117,"wse",2.641
"162",4099664.39,568523.114,"wse",2.676
"163",4099667.696,568517.662,"wse",2.653
"164",4099667.902,568519.255,"topo",2.336
"165",4099664.802,568518.254,"topo",3.087
"166",4099658.212,568516.188,"topo",3.403
"167",4099658.214,568520.88,"topo",3.282
"168",4099661.39,568523.997,"topo",3.192
"169",4099661.944,568527.585,"topo",2.865
"170",4099657.32,568525.8,"topo",3.218
"171",4099649.927,568523.627,"topo",3.355
"172",4099643.906,568524.773,"topo",3.371
"173",4099645.661,568529.645,"topo",3.191
"174",4099647.1,568533.663,"topo",2.864
"175",4099645.095,568538.282,"topo",2.524
"176",4099641.433,568535.762,"topo",2.84
"177",4099637.107,568532.243,"topo",3.068
"178",4099632.079,568527.842,"topo",3.502
"179",4099627.853,568528.282,"topo",3.871
"180",4099624.975,568531.226,"topo",4.294
"181",4099620.561,568531.813,"topo",4.414
"182",4099623.977,568535.18,"topo",4.224
"183",4099626.069,568536.35,"topo",4.043
"184",4099628.869,568537.514,"topo",3.18
"185",4099629.848,568539.716,"topo",2.876
"186",4099627.582,568542.195,"topo",3.813
"187",4099625.185,568545.653,"topo",3.908
"188",4099629.611,568546.182,"topo",3.721
"189",4099632.273,568547.169,"topo",2.985
"190",4099631.477,568549.393,"topo",3.594
"191",4099628.226,568553.328,"topo",3.655
"192",4099630.307,568557.451,"topo",3.582
"193",4099634.335,568556.236,"topo",3.484
"194",4099636.491,568556.096,"topo",3.336
"195",4099638.161,568556.184,"topo",2.819
"196",4099639.563,568559,"topo",3.01
"197",4099636.649,568560.533,"topo",3.38
"198",4099639.669,568561.458,"rock",3.373
"199",4099641.468,568561.934,"rock",3.741
"200",4099640.916,568563.213,"rock",4.377
"201",4099642.546,568565.056,"rock",4.7
"202",4099643.632,568564.914,"rock",3.489
"203",4099645.486,568561.546,"topo",1.969
"204",4099642.636,568559.485,"topo",2.363
"205",4099640.742,568556.09,"topo",2.066
"206",4099638.532,568553.008,"topo",2.115
"207",4099636.82,568550.22,"topo",2.076
"208",4099635.458,568548.36,"topo",2.133
"209",4099634.025,568545.788,"topo",2.048
"210",4099632.748,568543.428,"topo",2.05
"211",4099631.838,568539.956,"topo",2.006
"212",4099633.874,568539.923,"topo",2.11
"213",4099636.701,568541.76,"topo",2.222
"214",4099638.959,568542.936,"topo",2.226
"215",4099639.957,568541.446,"topo",2.602
"216",4099641.843,568543.074,"topo",2.095
"217",4099644.075,568542.39,"topo",1.884
"218",4099645.382,568540.934,"topo",1.852
"219",4099644.958,568539.171,"topo",2.387
"220",4099647.803,568539.009,"topo",1.72
"221",4099647.898,568537.136,"topo",2.18
"222",4099649.321,568535.114,"topo",2.469
"223",4099650.637,568536.4,"topo",1.763
"224",4099652.596,568534.986,"topo",1.848
"225",4099654.419,568533.93,"topo",2.318
"226",4099656.405,568534.965,"topo",2.033
"227",4099658.552,568533.657,"topo",2.468
"228",4099659.763,568535.283,"topo",1.991
"229",4099659.757,568537.375,"topo",1.858
"230",4099662.196,568535.875,"topo",1.966
"231",4099664.016,568533.093,"topo",2.068
"232",4099664.354,568529.496,"topo",2.068
"233",4099666.346,568530.497,"topo",1.952
"234",4099668.458,568533.559,"topo",2.135
"235",4099670.544,568535.588,"topo",2.342
"236",4099666.473,568538.043,"topo",2.012
"237",4099666.972,568540.511,"topo",1.777
"238",4099668.988,568539.191,"topo",2.132
"239",4099670.895,568537.879,"topo",2.412
"240",4099671.492,568533.928,"wse",2.693
"241",4099672.292,568536.335,"wse",2.688
"242",4099672.461,568538.229,"wse",2.704
"243",4099672.375,568539.627,"wse",2.661
"244",4099673.61,568536.562,"rock",3.645
"245",4099674.424,568535.698,"rock",3.871
"246",4099673.728,568533.998,"rock",3.698
"247",4099672.152,568533.507,"rock",3.341
"248",4099680.955,568548.992,"rock",3.034
"249",4099682.634,568549.685,"rock",3.423
"250",4099684.946,568551.266,"rock",3.736
"251",4099685.836,568552.719,"rock",3.458
"252",4099686.884,568556.046,"topo",3.16
"253",4099685.648,568556.285,"wse",2.659
"254",4099684.309,568554.66,"wse",2.672
"255",4099682.466,568552.19,"wse",2.668
"256",4099680.711,568553.114,"topo",1.775
"257",4099678.923,568552.123,"topo",1.802
"258",4099676.698,568552.484,"topo",1.896
"259",4099675.651,568555.883,"topo",1.761
"260",4099677.958,568555.888,"topo",1.835
"261",4099681.196,568556.323,"topo",1.929
"262",4099683.864,568557.948,"topo",1.8
"263",4099682.512,568560.996,"topo",1.815
"264",4099681.744,568563.154,"topo",1.794
"265",4099684.261,568564.158,"topo",1.778
"266",4099687.221,568562.642,"topo",1.952
"267",4099689.022,568564.44,"topo",1.843
"268",4099686.622,568566.953,"topo",1.788
"269",4099683.813,568569.702,"topo",1.934
"270",4099681.663,568572.481,"topo",1.96
"271",4099681.117,568576.324,"topo",1.825
"272",4099684.627,568575.587,"topo",1.931
"273",4099687.36,568574.05,"topo",1.946
"274",4099691.091,568570.924,"topo",1.768
"275",4099693.203,568573.465,"topo",1.787
"276",4099695.88,568574.466,"topo",1.765
"277",4099696.616,568578.068,"topo",1.799
"278",4099693.993,568581.306,"topo",1.89
"279",4099692.74,568584.073,"topo",1.682
"280",4099697.286,568583.059,"topo",1.88
"281",4099700.385,568581.582,"topo",1.79
"282",4099702.439,568583.824,"topo",1.793
"283",4099700.585,568587.203,"topo",1.801
"284",4099702.318,568588.782,"topo",1.756
"285",4099705.298,568587.004,"topo",1.787
"286",4099707.982,568589.685,"topo",1.797
"287",4099708.151,568592.777,"topo",1.708
"288",4099710.935,568593.203,"topo",1.763
"289",4099712.683,568590.708,"topo",1.796
"290",4099715.846,568590.409,"topo",1.865
"291",4099717.035,568592.601,"topo",1.763
"292",4099716.635,568593.93,"topo",1.652
"293",4099712.279,568595.1,"topo",1.707
"294",4099713.584,568596.576,"topo",1.68
"295",4099715.235,568598.119,"topo",1.687
"296",4099715.887,568600.217,"topo",1.628
"297",4099717.976,568600.714,"topo",1.677
"298",4099719.569,568600.803,"topo",1.675
"299",4099720.329,568599.789,"wse",2.678
"300",4099723.387,568598.125,"topo",2.919
"301",4099725.788,568596.036,"topo",3.097
"302",4099720.891,568595.793,"topo",2.947
"303",4099720.344,568594.847,"wse",2.685
"304",4099717.865,568597.028,"wse",2.676
"305",4099726.294,568598.53,"topo",3.03
"306",4099728.622,568602.347,"topo",3.086
"307",4099732.094,568602.821,"topo",3.253
"308",4099735.747,568604.848,"topo",3.183
"309",4099727.952,568605.674,"topo",2.994
"310",4099726.381,568605.708,"wse",2.669
"311",4099728.098,568608.288,"wse",2.719
"312",4099730.728,568610.121,"wse",2.671
"313",4099730.638,568608.845,"topo",3.109
"314",4099734.268,568607.339,"topo",3.165
"315",4099736.675,568608.373,"topo",3.42
"316",4099735.593,568611.211,"topo",3.203
"317",4099735.767,568613.667,"topo",3.166
"318",4099734.35,568612.703,"wse",2.682
"319",4099736.213,568615.225,"wse",2.696
"320",4099736.904,568614.312,"topo",3.224
"321",4099738.789,568613.044,"topo",3.353
"322",4099740.848,568614.275,"topo",3.581
"323",4099741.583,568612.611,"levee",4.073
"324",4099739.273,568609.482,"levee",3.925
"325",4099744.069,568615.279,"levee",4.314
"326",4099747.022,568618.386,"levee",4.393
"327",4099744.625,568617.553,"topo",3.747
"328",4099741.84,568616.14,"topo",3.455
"329",4099737.92,568615.573,"topo",3.209
"330",4099738.578,568617.555,"topo",3.058
"331",4099737.236,568616.425,"wse",2.673
"332",4099740.32,568619.756,"wse",2.638
"333",4099740.141,568618.447,"topo",3.068
"334",4099743.59,568619.536,"topo",3.23
"335",4099742.353,568621.564,"topo",3.082
"336",4099743.366,568623.345,"wse",2.664
"337",4099745.121,568623.564,"topo",3.112
"338",4099746.328,568622.114,"topo",3.34
"339",4099748.405,568622.666,"topo",3.569
"340",4099748.259,568625.592,"topo",3.323
"341",4099746.236,568626.689,"topo",3.038
"342",4099747.642,568629.007,"wse",2.682
"343",4099748.243,568628.643,"topo",3.152
"344",4099749.97,568626.942,"topo",3.396
"345",4099752.294,568629.977,"topo",3.424
"346",4099750.993,568631.772,"topo",3.128
"347",4099751.497,568633.146,"wse",2.657
"348",4099754.508,568633.995,"topo",3.343
"349",4099755.393,568636.469,"topo",3.132
"350",4099755.555,568636.901,"wse",2.684
"351",4099756.885,568636.322,"topo",3.401
"352",4099759.331,568637,"topo",3.784
"353",4099759.311,568640.831,"topo",3.132
"354",4099759.942,568642.683,"wse",2.716
"355",4099761.691,568643.008,"topo",3.247
"356",4099763.639,568641.423,"topo",3.758
"357",4099763.219,568644.725,"topo",3.324
"358",4099765.475,568644.147,"topo",3.732
"359",4099767.906,568642.838,"levee",4.762
"360",4099766.593,568646.746,"topo",3.773
"361",4099767.004,568648.656,"topo",3.168
"362",4099768.748,568650.966,"topo",3.069
"363",4099769.726,568652.15,"topo",3.01
"364",4099771.44,568653.836,"topo",3.071
"365",4099773.236,568655.531,"topo",3.095
"366",4099775.24,568656.69,"topo",3.219
"367",4099777.76,568658.806,"topo",3.244
"368",4099778.996,568660.158,"topo",3.074
"369",4099775.809,568660.778,"topo",2.856
"370",4099763.267,568654.767,"topo",1.988
"371",4099761.37,568654.546,"topo",1.961
"372",4099761.281,568652.79,"topo",1.819
"373",4099764.199,568656.473,"topo",2.287
"374",4099761.826,568656.937,"topo",2.333
"375",4099761,568657.972,"topo",2.106
"376",4099763.291,568658.358,"topo",2.264
"377",4099766.163,568659.037,"topo",2.244
"378",4099766.333,568661.76,"topo",2.283
"379",4099763.905,568662.049,"topo",2.324
"380",4099760.796,568662.995,"topo",2.273
"381",4099759.411,568664.426,"topo",2.102
"382",4099759.071,568667.132,"topo",2.096
"383",4099761.583,568666.486,"topo",2.241
"384",4099764.45,568665.09,"topo",2.297
"385",4099767.162,568665.113,"topo",2.289
"386",4099767.303,568667.396,"topo",2.098
"387",4099765.41,568668.753,"topo",2.465
"388",4099762.242,568669.84,"topo",2.287
"389",4099758.665,568671.393,"topo",2.016
"390",4099759.063,568673.727,"topo",1.86
"391",4099761.174,568673.678,"topo",2.236
"392",4099764.436,568673.147,"topo",2.388
"393",4099768.235,568672.825,"topo",2.314
"394",4099770.091,568673.879,"topo",2.207
"395",4099769.505,568676.562,"topo",2.201
"396",4099766.437,568676.312,"topo",2.4
"397",4099762.713,568677.135,"topo",2.262
"398",4099760.185,568679.474,"topo",1.962
"399",4099761.151,568682.438,"topo",2.02
"400",4099763.39,568681.592,"topo",2.25
"401",4099765.94,568680.932,"topo",2.361
"402",4099769.397,568681.457,"topo",2.264
"403",4099768.078,568683.418,"topo",2.32
"404",4099764.787,568683.803,"topo",2.241
"405",4099761.929,568684.21,"topo",2.051
"406",4099761.44,568686.184,"topo",1.829
"407",4099763.92,568686.083,"topo",2.172
"408",4099766.67,568685.995,"topo",2.255
"409",4099769.538,568686.783,"topo",2.304
"410",4099769.019,568689.026,"topo",2.309
"411",4099766.171,568690.33,"topo",2.17
"412",4099764.052,568691.958,"topo",1.888
"413",4099764.824,568693.568,"topo",1.942
"414",4099767.332,568693.282,"topo",2.171
"415",4099770.953,568694.599,"topo",2.381
"416",4099769.469,568696.113,"topo",2.203
"417",4099767.088,568697.359,"topo",1.969
"418",4099766.775,568699.348,"topo",1.85
"419",4099769.3,568699.112,"topo",2.175
"420",4099772.593,568700.028,"topo",2.36
"421",4099771.852,568701.622,"topo",2.192
"422",4099769.56,568702.398,"topo",2.05
"423",4099767.755,568703.843,"topo",1.739
"424",4099768.422,568705.475,"topo",1.814
"425",4099770.149,568704.714,"topo",2.067
"426",4099772.317,568704.432,"topo",2.226
"427",4099774.03,568705.207,"topo",2.195
"428",4099771.443,568706.832,"topo",1.988
"429",4099769.303,568708.342,"topo",1.849
"430",4099770.33,568710.385,"topo",1.903
"431",4099772.698,568709.02,"topo",2.045
"432",4099775.343,568707.493,"topo",2.076
"433",4099776.859,568709.242,"topo",2.023
"434",4099774.485,568711.426,"topo",2.082
"435",4099772.952,568712.793,"topo",2.184
"436",4099772.168,568713.947,"topo",1.75
"437",4099772.747,568715.583,"topo",1.827
"438",4099773.575,568714.745,"topo",2.207
"439",4099776.471,568713.99,"topo",2.116
"440",4099778.296,568712.891,"topo",2.042
"441",4099778.562,568710.542,"topo",2.203
"442",4099780.13,568709.374,"wse",2.656
"443",4099779.823,568713.036,"topo",1.971
"444",4099777.728,568714.683,"topo",2.123
"445",4099775.858,568716.734,"topo",2.207
"446",4099774.595,568718.619,"topo",1.921
"447",4099775.788,568720.535,"topo",1.98
"448",4099777.5,568719.333,"topo",2.193
"449",4099779.588,568717.497,"topo",2.178
"450",4099782.512,568717.443,"topo",2.13
"451",4099783.424,568719.82,"topo",2.158
"452",4099780.797,568720.632,"topo",2.201
"453",4099778.149,568722.038,"topo",2.121
"454",4099777.723,568723.659,"topo",1.971
"455",4099777.943,568725.186,"topo",1.968
"456",4099779.33,568724.722,"topo",1.998
"457",4099781.185,568723.716,"topo",2.193
"458",4099783.533,568722.519,"topo",2.187
"459",4099785.698,568721.672,"topo",2.146
"460",4099787.115,568720.557,"topo",2.085
"461",4099787.72,568723.552,"topo",2.145
"462",4099785.723,568725.685,"topo",2.238
"463",4099783.848,568728.14,"topo",2.114
"464",4099782.01,568730.337,"topo",1.986
"465",4099781.645,568732.011,"topo",1.842
"466",4099784.117,568731.737,"topo",2.049
"467",4099786.825,568730.093,"topo",2.205
"468",4099789.663,568728.537,"topo",2.29
"469",4099791.624,568726.721,"topo",2.13
"470",4099792.208,568724.953,"topo",2.001
"471",4099793.977,568727.578,"topo",2.189
"472",4099792.136,568730.271,"topo",2.31
"473",4099790.354,568733.042,"topo",2.228
"474",4099788.631,568736.383,"topo",2.053
"475",4099787.945,568738.598,"topo",1.838
"476",4099790.336,568739.48,"topo",1.984
"477",4099791.971,568736.868,"topo",2.17
"478",4099793.634,568734.63,"topo",2.299
"479",4099795.598,568732.285,"topo",2.308
"480",4099798.217,568730.64,"topo",2.143
"481",4099799.927,568730.617,"topo",2.124
"482",4099798.908,568733.993,"topo",2.301
"483",4099796.973,568737.184,"topo",2.29
"484",4099794.918,568740.014,"topo",2.113
"485",4099793.686,568742.86,"topo",1.902
"486",4099795.048,568744.423,"topo",1.8
"487",4099796.636,568742.613,"topo",2.078
"488",4099798.664,568740.538,"topo",2.202
"489",4099801.05,568737.471,"topo",2.315
"490",4099803.337,568734.414,"topo",2.115
"491",4099803.722,568731.108,"topo",2.068
"492",4099804.063,568730.192,"wse",2.704
"493",4099804.411,568734.246,"topo",2.097
"494",4099802.642,568737.364,"topo",2.287
"495",4099800.543,568740.781,"topo",2.23
"496",4099799.039,568744.214,"topo",2.033
"497",4099799.429,568746.909,"topo",1.897
"498",4099802.133,568745.263,"topo",2.072
"499",4099804.741,568743.078,"topo",2.21
"500",4099807.07,568741.087,"topo",2.241
"501",4099809.313,568739.166,"topo",2.141
"502",4099811.852,568738.611,"topo",2.137
"503",4099810.662,568741.184,"topo",2.169
"504",4099809.545,568743.732,"topo",2.209
"505",4099808.565,568746.243,"topo",2.114
"506",4099807.031,568749.037,"topo",2.008
"507",4099805.876,568751.647,"topo",1.861
"508",4099805.523,568752.899,"topo",1.727
"509",4099807.966,568753.511,"topo",1.848
"510",4099809.25,568751.433,"topo",1.942
"511",4099811.572,568748.284,"topo",2.1
"512",4099813.392,568745.528,"topo",2.188
"513",4099816.167,568743.627,"topo",2.085
"514",4099816.545,568745.638,"topo",2.105
"515",4099815.709,568748.758,"topo",2.12
"516",4099814.76,568751.465,"topo",2.008
"517",4099813.609,568754.412,"topo",1.896
"518",4099814.237,568757.049,"topo",1.86
"519",4099816.677,568757.744,"topo",1.878
"520",4099818.065,568754.951,"topo",1.966
"521",4099819.835,568751.935,"topo",2.039
"522",4099820.723,568749.104,"topo",2.123
"523",4099820.851,568746.685,"topo",2.005
"524",4099821.138,568744.441,"topo",2.15
"525",4099821.657,568742.723,"wse",2.7
"526",4099821.803,568746.777,"topo",1.984
"527",4099821.604,568751.111,"topo",2.063
"528",4099821.358,568755.167,"topo",1.981
"529",4099819.295,568758.191,"topo",1.882
"530",4099820.333,568760.613,"topo",1.641
"531",4099822.241,568759.15,"topo",1.931
"532",4099822.936,568756.753,"topo",1.949
"533",4099825.222,568754.915,"topo",1.981
"534",4099824.703,568751.346,"topo",2.069
"535",4099827.559,568750.489,"topo",1.976
"536",4099826.818,568748.014,"topo",2.084
"537",4099828.222,568746.943,"wse",2.692
"538",4099828.288,568748.152,"topo",2.1
"539",4099828.78,568749.511,"topo",2.097
"540",4099827.148,568752.374,"topo",2.01
"541",4099825.904,568756.018,"topo",2.005
"542",4099824.389,568759.244,"topo",1.96
"543",4099824.105,568761.911,"topo",1.712
"544",4099826.872,568762.568,"topo",1.869
"545",4099828.092,568759.576,"topo",1.922
"546",4099829.588,568756.075,"topo",2.018
"547",4099831.601,568754.312,"topo",1.949
"548",4099831.056,568751.028,"topo",2.059
"549",4099833.763,568751.578,"topo",2.122
"550",4099833.748,568749.056,"wse",2.722
"551",4099832.27,568754.363,"topo",1.962
"552",4099831.258,568758.064,"topo",1.973
"553",4099830.48,568761.454,"topo",1.936
"554",4099830.007,568764.124,"topo",1.863
"555",4099831.943,568765.127,"topo",1.755
"556",4099833.445,568762.931,"topo",1.942
"557",4099835.027,568760.292,"topo",1.968
"558",4099837.187,568758.201,"topo",1.941
"559",4099839.22,568756.054,"topo",2.03
"560",4099842.023,568756.224,"topo",1.871
"561",4099840.769,568760.022,"topo",1.981
"562",4099839.68,568763.443,"topo",1.989
"563",4099838.761,568766.349,"topo",1.935
"564",4099839.892,568768.481,"topo",1.814
"565",4099841.912,568768.993,"topo",1.8
"566",4099843.137,568765.902,"topo",1.955
"567",4099845.184,568762.514,"topo",1.949
"568",4099847.317,568758.765,"topo",1.892
"569",4099849.4,568759.854,"topo",1.884
"570",4099848.493,568763.337,"topo",1.926
"571",4099847.651,568766.611,"topo",1.975
"572",4099847.379,568769.723,"topo",1.881
"573",4099844.894,568770.843,"topo",1.665
"574",4099844.136,568773.022,"topo",1.764
"575",4099845.505,568771.574,"topo",1.76
"576",4099847.315,568768.876,"topo",1.998
"577",4099849.016,568765.552,"topo",1.93
"578",4099851.266,568762.227,"topo",1.903
"579",4099852.875,568757.978,"wse",2.688
"580",4099849.675,568757.081,"topo",2.127
"581",4099850.336,568756.895,"wse",2.701
"582",4099852.17,568761.508,"topo",1.903
"583",4099852.193,568764.737,"topo",1.927
"584",4099852.239,568768.44,"topo",2.002
"585",4099850.658,568770.857,"topo",1.828
"586",4099850.434,568773.448,"topo",2.07
"587",4099852.019,568776.167,"topo",1.731
"588",4099853.39,568773.927,"topo",2.029
"589",4099854.973,568771.025,"topo",2.048
"590",4099857.03,568767.541,"topo",1.943
"591",4099859.126,568764.696,"topo",1.872
"592",4099861.536,568762.631,"topo",1.901
"593",4099861.34,568761.606,"wse",2.667
"594",4099861.961,568765.048,"topo",1.931
"595",4099861.182,568768.066,"topo",1.925
"596",4099860.142,568772.016,"topo",2.088
"597",4099859.411,568775.745,"topo",1.791
"598",4099858.694,568777.92,"topo",2.043
"599",4099858.171,568780.583,"topo",1.781
"600",4099860.705,568777.167,"topo",1.903
"601",4099862.076,568774.856,"topo",2.094
"602",4099863.896,568771.577,"topo",2.036
"603",4099866.414,568767.568,"topo",1.827
"604",4099868.531,568767.995,"topo",1.842
"605",4099867.775,568770.242,"topo",1.992
"606",4099866.402,568773.667,"topo",2.088
"607",4099865.288,568777.357,"topo",2.039
"608",4099867.397,568781.265,"topo",1.931
"609",4099868.415,568779.039,"topo",2.039
"610",4099869.968,568775.474,"topo",2.102
"611",4099871.326,568772.861,"topo",2.025
"612",4099872.915,568769.684,"topo",1.899
"613",4099875.439,568781.514,"topo",2.061
"614",4099876.785,568780.013,"topo",2.072
"615",4099877.769,568777.745,"topo",2.052
"616",4099879.208,568775.235,"topo",1.997
"617",4099880.244,568772.876,"topo",1.949
"618",4099880.532,568770.001,"topo",1.928
"619",4099882.179,568770.896,"topo",1.88
"620",4099881.836,568774.31,"topo",1.994
"621",4099880.824,568777.763,"topo",2.004
"622",4099879.337,568781.955,"topo",2.06
"623",4099879.454,568783.99,"topo",2.025
"624",4099882.394,568784.723,"topo",1.969
"625",4099882.045,568781.791,"topo",2.076
"626",4099881.629,568778.424,"topo",2.028
"627",4099882.485,568775.149,"topo",1.992
"628",4099883.637,568772.124,"topo",1.922
"629",4099886.21,568771.425,"topo",1.921
"630",4099889.347,568770.213,"wse",2.668
"631",4099889.392,568772.773,"topo",1.854
"632",4099886.858,568774.128,"topo",1.995
"633",4099885.317,568778.988,"topo",1.994
"634",4099883.862,568783.543,"topo",2.012
"635",4099884.141,568786.211,"topo",1.963
"636",4099886.19,568787.911,"topo",1.866
